Codigo Punto de Venta;Punto de Venta;Empresas;Latitud;Longitud;Canal;Zona;Distrito
34182;LICORERIA FONTANA;PERNOD RICARD PERU S.A.;-12.0771875;-76.9640557;TRADICIONAL;LIMA;LA MOLINA
34183;POZITO FERRERO;PERNOD RICARD PERU S.A.;-12.0902071;-76.9493138;TRADICIONAL;LIMA;LA MOLINA
34184;POZITO ESTANCIA;PERNOD RICARD PERU S.A.;-12.0775455;-76.9545366;TRADICIONAL;LIMA;LA MOLINA
34185;OSCAR LEON;PERNOD RICARD PERU S.A.;-12.0985777;-76.9949753;TRADICIONAL;LIMA;SAN LUIS
34186;VITA;PERNOD RICARD PERU S.A.;-12.099192;-76.9946682;TRADICIONAL;LIMA;SAN LUIS
34187;LICORERIA JUANITO;PERNOD RICARD PERU S.A.;-12.0926325;-76.9958926;TRADICIONAL;LIMA;SAN LUIS
34188;DARIO;PERNOD RICARD PERU S.A.;-12.0994259;-76.9946757;TRADICIONAL;LIMA;SAN LUIS
34189;LICORERIA JACKY;PERNOD RICARD PERU S.A.;-12.0996438;-76.9946231;TRADICIONAL;LIMA;SAN LUIS
34190;GABACHITO;PERNOD RICARD PERU S.A.;-12.0793427;-76.9940924;TRADICIONAL;LIMA;SAN LUIS
34191;LICORERIA  ERICK 2;PERNOD RICARD PERU S.A.;-12.0614792;-77.032843;TRADICIONAL;LIMA;LA VICTORIA
34192;DISTRIBUIDORA BARRIO NUEVO;PERNOD RICARD PERU S.A.;-12.055817;-77.028893;TRADICIONAL;LIMA;LIMA
34193;LICORERIA LOEL;PERNOD RICARD PERU S.A.;-12.0623561;-77.033077;TRADICIONAL;LIMA;LA VICTORIA
34194;LICORERIA LOEL  / GRUPO LICORES SIN FRONTERAS SAC;PERNOD RICARD PERU S.A.;-12.0621178;-77.0317576;TRADICIONAL;LIMA;LA VICTORIA
34195;LICORERIA BRISOL;PERNOD RICARD PERU S.A.;-12.0851099;-77.0754922;TRADICIONAL;LIMA;SAN MIGUEL
34197;LICORERIA RENE;PERNOD RICARD PERU S.A.;-12.0617249;-77.033353;TRADICIONAL;LIMA;LA VICTORIA
34198;LICORERIA? KATTY;PERNOD RICARD PERU S.A.;-12.0485879;-76.9675081;TRADICIONAL;LIMA;SANTA ANITA
34199;NUEVO MUNDO SAN ISIDRO;PERNOD RICARD PERU S.A.;-12.0914305;-77.0348879;TRADICIONAL;LIMA;SAN ISIDRO
34200;OSWALDO BALDEON;PERNOD RICARD PERU S.A.;-12.054179;-77.0286725;TRADICIONAL;LIMA;LIMA
34201;POZITO MIRAFLORES;PERNOD RICARD PERU S.A.;-12.12048835;-77.03361719;TRADICIONAL;LIMA;MIRAFLORES
34203;LA CAVA SURQUILLO;PERNOD RICARD PERU S.A.;-12.11779288;-77.02386586;TRADICIONAL;LIMA;SURQUILLO
34204;LICORERIA EL HONGO;PERNOD RICARD PERU S.A.;-12.11803253;-76.99908945;TRADICIONAL;LIMA;SURQUILLO
34205;TANG YIK PUN;PERNOD RICARD PERU S.A.;-12.1169761;-77.0228237;TRADICIONAL;LIMA;SURQUILLO
34206;TOISHAN;PERNOD RICARD PERU S.A.;-12.1115484;-77.0004733;TRADICIONAL;LIMA;SURQUILLO
34207;LICORERIA EL CORCHO;PERNOD RICARD PERU S.A.;-12.1128125;-77.0001761;TRADICIONAL;LIMA;SURQUILLO
34208;POZITO GUARDIA CIVIL;PERNOD RICARD PERU S.A.;-12.0994953;-77.0129722;TRADICIONAL;LIMA;SAN ISIDRO
34209;SUMON CANADA;PERNOD RICARD PERU S.A.;-12.0796847;-76.9917095;TRADICIONAL;LIMA;SAN LUIS
34210;EL GITANO (POLO);PERNOD RICARD PERU S.A.;-12.1013205;-76.9714397;TRADICIONAL;LIMA;SANTIAGO DE SURCO
34211;GITANO CHACARRILLA;PERNOD RICARD PERU S.A.;-12.1118075;-76.9914967;TRADICIONAL;LIMA;SANTIAGO DE SURCO
34212;POZITO BARRANCO;PERNOD RICARD PERU S.A.;-12.1405765;-77.0233032;TRADICIONAL;LIMA;BARRANCO
34213;NUEVO MUNDO AVIACION;PERNOD RICARD PERU S.A.;-12.0969943;-77.0023137;TRADICIONAL;LIMA;SAN BORJA
34214;POZITO SALGUERO;PERNOD RICARD PERU S.A.;-12.13039344;-77.0076846;TRADICIONAL;LIMA;SANTIAGO DE SURCO
34215;CATARIS VINOS Y LICORERIAS;PERNOD RICARD PERU S.A.;-12.0950815;-77.0026448;TRADICIONAL;LIMA;SAN BORJA
34216;REPRESENT. DANA;PERNOD RICARD PERU S.A.;-12.055767;-77.0288115;TRADICIONAL;LIMA;LIMA
34217;LICORERIA DON PORFIRIO;PERNOD RICARD PERU S.A.;-12.106397;-77.0007667;TRADICIONAL;LIMA;SAN BORJA
34218;RISCO FONTANA;PERNOD RICARD PERU S.A.;-12.0769433;-76.9636879;TRADICIONAL;LIMA;LA MOLINA
34219;GARCIA Y HNOS;PERNOD RICARD PERU S.A.;-12.1530618;-76.9706203;TRADICIONAL;LIMA;SAN JUAN DE MIRAFLORES
34220;LICORERIA J.M.S;PERNOD RICARD PERU S.A.;-12.1526337;-76.9705829;TRADICIONAL;LIMA;SAN JUAN DE MIRAFLORES
34221;GONAS OPORTO HITLERL DANIE;PERNOD RICARD PERU S.A.;-12.1614832;-76.9644614;TRADICIONAL;LIMA;SAN JUAN DE MIRAFLORES
34222;MAYRA Y ALONDRA;PERNOD RICARD PERU S.A.;-12.1529225;-76.9705216;TRADICIONAL;LIMA;SAN JUAN DE MIRAFLORES
34223;LICORERIA BARBITAS;PERNOD RICARD PERU S.A.;-12.1574364;-76.9731188;TRADICIONAL;LIMA;SAN JUAN DE MIRAFLORES
